unix_time_start,event,browser_received_count,server_received_count,facebook_sdk_received_count,mmp_received_count,ae_api_received_count,total_count
1736625600,PageView,32,0,0,0,0,32
1736629200,PageView,32,0,0,0,0,32
1736632800,PageView,34,0,0,0,0,34
1736636400,PageView,25,0,0,0,0,25
1736640000,PageView,31,0,0,0,0,31
1736643600,PageView,28,0,0,0,0,28
1736647200,PageView,19,0,0,0,0,19
1736650800,PageView,7,0,0,0,0,7
1736654400,PageView,7,0,0,0,0,7
1736658000,PageView,3,0,0,0,0,3
1736661600,PageView,7,0,0,0,0,7
1736665200,PageView,1,0,0,0,0,1
1736668800,PageView,1,0,0,0,0,1
1736672400,PageView,2,0,0,0,0,2
1736676000,PageView,10,0,0,0,0,10
1736679600,PageView,20,0,0,0,0,20
1736683200,PageView,10,0,0,0,0,10
1736686800,PageView,10,0,0,0,0,10
1736690400,PageView,20,0,0,0,0,20
1736694000,PageView,10,0,0,0,0,10
1736704800,PageView,1,0,0,0,0,1
1736708400,PageView,1,0,0,0,0,1
1736719200,PageView,1,0,0,0,0,1
1736726400,PageView,2,0,0,0,0,2
1736730000,PageView,2,0,0,0,0,2
1736733600,PageView,1,0,0,0,0,1
Download our Terms for Facebook Business Tools at https://www.facebook.com/legal/terms/businesstools/update
